"Date","Price","Open","High","Low","Vol.","Change %"
"11/27/2020","16.83","17.00","17.07","16.80","67.74K","-0.59%"
"11/26/2020","16.93","17.17","17.23","16.67","254.58K","0.79%"
"11/25/2020","16.80","16.63","17.00","16.33","225.16K","1.61%"
"11/24/2020","16.53","15.93","16.63","15.93","86.56K","2.90%"
"11/23/2020","16.07","16.23","16.63","16.00","129.17K","-1.63%"
"11/20/2020","16.33","16.00","16.50","15.83","63.53K","2.08%"
"11/19/2020","16.00","16.67","16.67","15.83","84.69K","-1.64%"
"11/18/2020","16.27","16.67","16.67","16.17","136.60K","-2.40%"
"11/17/2020","16.67","16.13","17.10","16.13","201.28K","0.00%"
"11/16/2020","16.67","16.67","16.67","16.00","101.69K","-0.99%"
"11/13/2020","16.83","16.73","17.33","16.50","348.99K","-1.94%"
"11/12/2020","17.17","17.60","17.60","16.73","309.30K","0.98%"
"11/11/2020","17.00","17.67","17.93","16.33","881.72K","-3.77%"
"11/10/2020","17.67","20.30","20.30","17.00","1.76M","-11.67%"
"11/09/2020","20.00","17.33","20.40","17.33","6.49M","22.45%"
"11/06/2020","16.33","15.83","16.67","15.50","2.89M","10.11%"
"11/05/2020","14.83","14.60","15.33","14.60","103.84K","5.45%"
"11/04/2020","14.07","14.00","15.33","14.00","39.11K","2.93%"
"11/03/2020","13.67","14.00","14.00","13.43","13.22K","1.23%"
"11/02/2020","13.50","14.00","14.00","13.40","5.10K","-3.57%"
"10/29/2020","14.00","13.37","14.33","13.33","10.46K","5.00%"
"10/28/2020","13.33","14.33","14.33","13.33","17.86K","-0.74%"
"10/27/2020","13.43","13.67","14.03","13.40","6.12K","-2.66%"
"10/26/2020","13.80","12.83","13.93","12.83","12.16K","-5.69%"
"10/23/2020","14.63","14.00","14.63","14.00","79.97K","0.23%"
"10/22/2020","14.60","13.67","14.60","13.03","20.72K","-0.23%"
"10/21/2020","14.63","14.67","14.93","13.67","77.44K","-1.57%"
"10/20/2020","14.87","15.10","15.10","14.87","42.48K","-3.04%"
"10/19/2020","15.33","15.60","15.67","15.23","145.96K","-1.71%"
"10/16/2020","15.60","15.27","16.00","15.03","242.43K","1.96%"
"10/15/2020","15.30","15.33","15.33","14.87","463.00K","0.88%"
"10/14/2020","15.17","14.67","15.50","14.33","432.76K","5.57%"
"10/13/2020","14.37","15.00","15.60","14.33","19.68K","-7.31%"
"10/12/2020","15.50","14.43","16.33","14.00","250.45K","10.71%"
"10/09/2020","14.00","14.47","14.87","13.83","132.89K","-3.23%"
"10/08/2020","14.47","13.67","14.60","13.63","186.94K","8.50%"
"10/07/2020","13.33","13.33","14.00","13.33","27.61K","0.00%"
"10/06/2020","13.33","12.17","14.00","12.00","419.51K","1.27%"
"10/05/2020","13.17","14.33","14.93","12.00","331.66K","-15.60%"
"10/02/2020","15.60","15.33","15.60","15.03","26.66K","0.86%"
"09/30/2020","15.47","15.43","15.67","15.33","139.95K","0.22%"
"09/29/2020","15.43","15.67","16.17","15.17","604.42K","-1.91%"
"09/28/2020","15.73","14.50","16.00","14.37","1.88M","11.06%"
"09/25/2020","14.17","14.07","14.57","14.07","48.55K","0.71%"
"09/24/2020","14.07","14.27","14.47","14.07","33.77K","-3.65%"
"09/23/2020","14.60","14.50","14.60","14.27","93.18K","0.69%"
"09/22/2020","14.50","14.67","14.67","14.33","84.12K","-0.68%"
"09/21/2020","14.60","14.33","14.83","14.03","164.36K","1.86%"
"09/18/2020","14.33","14.40","14.77","14.00","96.84K","-2.27%"
"09/17/2020","14.67","14.33","14.87","14.33","781.29K","3.29%"
"09/16/2020","14.20","14.17","14.63","14.00","588.12K","-1.84%"
"09/15/2020","14.47","14.00","14.47","13.50","715.16K","0.70%"
"09/14/2020","14.37","14.50","14.67","14.00","365.55K","0.23%"
"09/11/2020","14.33","13.33","14.50","13.33","763.02K","8.86%"
"09/10/2020","13.17","13.33","13.33","12.70","336.79K","1.28%"
"09/09/2020","13.00","12.37","13.00","12.20","633.95K","7.14%"
"09/08/2020","12.13","11.83","12.27","11.83","159.71K","0.55%"
"09/07/2020","12.07","11.50","12.10","11.50","573.98K","6.47%"
"09/04/2020","11.33","11.27","11.50","11.27","26.56K","0.29%"
"09/03/2020","11.30","11.20","11.30","11.20","64.99K","1.19%"
"09/02/2020","11.17","11.17","11.30","11.17","78.40K","0.30%"
